variant_id,branch,method,alpha,omega,roi,sr,trades,final_cash
paper,baseline,proposed,0.3,16,-2.0415737661132702,-0.3297076693656625,142.0,979584.2623388673
policy_gradient,improved,proposed,0.3,16,0.0,0.0,0.0,1000000.0
